stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
02633,Mountainview Rd. N. @ Maple Ave.,43.6563339,-79.9114151,35,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02633,0,,2
02632,Yonge St. @ Weldrick Rd. E.,43.8606033,-79.4346237,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02632,0,,1
02631,Hwy. 7A @ 6th Line,44.0956688,-78.9611511,52,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02631,0,,2
02629,Gormley GO,43.9409103,-79.3985214,62,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02629,0,,1
02628,Kingston Rd. @ Brock Rd.,43.8478546,-79.0743408,91,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02628,0,,1
02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634,39,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02627,0,,2
02626,Brock Rd. S. @ Gilmour Rd.,43.4668732,-80.1422806,39,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02626,0,,2
02625,Kitchener Bus Terminal,43.4494133,-80.4932022,27,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02625,0,,1
02623,Winchester Rd. W. @ Lake Ridge Rd.,43.9403648,-79.0159454,87,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02623,0,,2
02622,Bond St.E. @ Claymore Cr.,43.9045258,-78.8424835,94,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02622,0,,2
02621,Ontario St. @ QEW (Beamsville) Park & Ride,43.1881676,-79.4759598,82,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02621,0,,2
02620,McMaster Innovation Park,43.2564278,-79.9013138,18,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02620,0,,1
02619,McMaster Innovation Park,43.2570114,-79.9015045,18,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02619,0,,1
02617,Brantford Bus Terminal,43.1403084,-80.2649918,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02617,0,,1
02616,Colborne St. E. @ Park Ave.,43.1390533,-80.2543106,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02616,0,,2
02615,Dalhousie St. @ Park Ave.,43.1400795,-80.2549591,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02615,0,,2
02614,Colborne St E. @ Kiwanis Way,43.1404762,-80.2400513,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02614,0,,2
02613,Colborne St. E. @ Puleston St.,43.1405792,-80.2406311,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02613,0,,1
02612,Wayne Gretzky Pkwy. @ Chatham St.,43.144886,-80.2353592,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02612,0,,2
02611,Wayne Gretzky Pkwy. @ Chatham St.,43.1449928,-80.2356873,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02611,0,,2
02610,Wayne Gretzky Pkwy. @ Elgin St.,43.1499977,-80.2378159,85,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=02610,0,,2
