fare_id,price,currency_type,payment_method,transfers
82-94,20.75,CAD,1,
93-82,20.10,CAD,1,
82-93,20.10,CAD,1,
92-82,19.35,CAD,1,
82-92,19.35,CAD,1,
91-82,18.70,CAD,1,
82-91,18.70,CAD,1,
90-82,19.20,CAD,1,
82-90,19.20,CAD,1,
89-82,19.20,CAD,1,
82-89,19.20,CAD,1,
88-82,22.05,CAD,1,
82-88,22.05,CAD,1,
87-82,20.60,CAD,1,
82-87,20.60,CAD,1,
86-82,20.00,CAD,1,
82-86,20.00,CAD,1,
85-82,13.15,CAD,1,
82-85,13.15,CAD,1,
84-82,8.90,CAD,1,
82-84,8.90,CAD,1,
83-82,6.55,CAD,1,
82-83,6.55,CAD,1,
82-82,5.30,CAD,1,
1084-81,12.15,CAD,1,
81-1084,12.15,CAD,1,
1083-81,8.85,CAD,1,
81-1083,8.85,CAD,1,
97-81,21.90,CAD,1,
81-97,21.90,CAD,1,
96-81,21.10,CAD,1,
81-96,21.10,CAD,1,
95-81,20.60,CAD,1,
81-95,20.60,CAD,1,
94-81,20.10,CAD,1,
81-94,20.10,CAD,1,
93-81,19.40,CAD,1,
81-93,19.40,CAD,1,
92-81,18.65,CAD,1,
81-92,18.65,CAD,1,
91-81,18.05,CAD,1,
81-91,18.05,CAD,1,
90-81,18.55,CAD,1,
81-90,18.55,CAD,1,
89-81,18.55,CAD,1,
81-89,18.55,CAD,1,
88-81,21.30,CAD,1,
81-88,21.30,CAD,1,
87-81,19.95,CAD,1,
81-87,19.95,CAD,1,
86-81,19.25,CAD,1,
81-86,19.25,CAD,1,
85-81,12.45,CAD,1,
81-85,12.45,CAD,1,
84-81,10.25,CAD,1,
81-84,10.25,CAD,1,
83-81,7.45,CAD,1,
81-83,7.45,CAD,1,
82-81,5.30,CAD,1,
81-82,5.30,CAD,1,
81-81,5.30,CAD,1,
1084-80,14.45,CAD,1,
80-1084,14.45,CAD,1,
1083-80,12.15,CAD,1,
80-1083,12.15,CAD,1,
97-80,20.80,CAD,1,
80-97,20.80,CAD,1,
96-80,19.90,CAD,1,
80-96,19.90,CAD,1,
95-80,19.35,CAD,1,
80-95,19.35,CAD,1,
94-80,18.85,CAD,1,
80-94,18.85,CAD,1,
93-80,18.15,CAD,1,
80-93,18.15,CAD,1,
92-80,17.40,CAD,1,
80-92,17.40,CAD,1,
91-80,16.75,CAD,1,
80-91,16.75,CAD,1,
90-80,16.60,CAD,1,
80-90,16.60,CAD,1,
89-80,16.55,CAD,1,
80-89,16.55,CAD,1,
88-80,19.40,CAD,1,
80-88,19.40,CAD,1,
87-80,17.95,CAD,1,
80-87,17.95,CAD,1,
86-80,17.30,CAD,1,
80-86,17.30,CAD,1,
85-80,9.90,CAD,1,
80-85,9.90,CAD,1,
84-80,12.20,CAD,1,
80-84,12.20,CAD,1,
83-80,10.25,CAD,1,
80-83,10.25,CAD,1,
82-80,7.05,CAD,1,
80-82,7.05,CAD,1,
81-80,6.40,CAD,1,
80-81,6.40,CAD,1,
80-80,5.30,CAD,1,
1084-77,24.05,CAD,1,
77-1084,24.05,CAD,1,
1083-77,22.10,CAD,1,
77-1083,22.10,CAD,1,
97-77,11.95,CAD,1,
77-97,11.95,CAD,1,
96-77,11.20,CAD,1,
77-96,11.20,CAD,1,
95-77,10.65,CAD,1,
77-95,10.65,CAD,1,
94-77,10.10,CAD,1,
77-94,10.10,CAD,1,
93-77,8.95,CAD,1,
77-93,8.95,CAD,1,
92-77,8.25,CAD,1,
77-92,8.25,CAD,1,
91-77,7.10,CAD,1,
77-91,7.10,CAD,1,
90-77,6.75,CAD,1,
77-90,6.75,CAD,1,
89-77,6.60,CAD,1,
77-89,6.60,CAD,1,
88-77,11.00,CAD,1,
77-88,11.00,CAD,1,
87-77,10.95,CAD,1,
77-87,10.95,CAD,1,
86-77,9.55,CAD,1,
77-86,9.55,CAD,1,
85-77,18.20,CAD,1,
77-85,18.20,CAD,1,
84-77,21.05,CAD,1,
77-84,21.05,CAD,1,
83-77,19.10,CAD,1,
77-83,19.10,CAD,1,
82-77,16.85,CAD,1,
77-82,16.85,CAD,1,
81-77,16.15,CAD,1,
77-81,16.15,CAD,1,
80-77,14.20,CAD,1,
77-80,14.20,CAD,1,
77-77,5.30,CAD,1,
1084-76,29.00,CAD,1,
76-1084,29.00,CAD,1,
1083-76,27.05,CAD,1,
76-1083,27.05,CAD,1,
97-76,20.20,CAD,1,
76-97,20.20,CAD,1,
96-76,19.40,CAD,1,
76-96,19.40,CAD,1,
95-76,18.90,CAD,1,
76-95,18.90,CAD,1,
94-76,18.40,CAD,1,
76-94,18.40,CAD,1,
93-76,17.65,CAD,1,
76-93,17.65,CAD,1,
92-76,16.95,CAD,1,
76-92,16.95,CAD,1,
91-76,16.25,CAD,1,
76-91,16.25,CAD,1,
90-76,10.80,CAD,1,
76-90,10.80,CAD,1,
89-76,10.65,CAD,1,
76-89,10.65,CAD,1,
88-76,13.20,CAD,1,
76-88,13.20,CAD,1,
87-76,12.50,CAD,1,
76-87,12.50,CAD,1,
86-76,11.40,CAD,1,
76-86,11.40,CAD,1,
85-76,23.80,CAD,1,
76-85,23.80,CAD,1,
84-76,26.00,CAD,1,
76-84,26.00,CAD,1,
83-76,24.05,CAD,1,
76-83,24.05,CAD,1,
82-76,21.80,CAD,1,
76-82,21.80,CAD,1,
81-76,21.10,CAD,1,
76-81,21.10,CAD,1,
80-76,19.85,CAD,1,
76-80,19.85,CAD,1,
77-76,10.25,CAD,1,
76-77,10.25,CAD,1,
76-76,5.30,CAD,1,
1084-75,28.35,CAD,1,
75-1084,28.35,CAD,1,
1083-75,26.40,CAD,1,
75-1083,26.40,CAD,1,
97-75,19.55,CAD,1,
75-97,19.55,CAD,1,
96-75,18.80,CAD,1,
75-96,18.80,CAD,1,
95-75,18.30,CAD,1,
75-95,18.30,CAD,1,
94-75,17.75,CAD,1,
75-94,17.75,CAD,1,
93-75,17.05,CAD,1,
75-93,17.05,CAD,1,
92-75,16.35,CAD,1,
75-92,16.35,CAD,1,
91-75,15.65,CAD,1,
75-91,15.65,CAD,1,
90-75,10.20,CAD,1,
75-90,10.20,CAD,1,
89-75,10.00,CAD,1,
75-89,10.00,CAD,1,
88-75,12.55,CAD,1,
75-88,12.55,CAD,1,
87-75,11.90,CAD,1,
75-87,11.90,CAD,1,
86-75,10.70,CAD,1,
75-86,10.70,CAD,1,
85-75,23.20,CAD,1,
75-85,23.20,CAD,1,
84-75,25.35,CAD,1,
75-84,25.35,CAD,1,
83-75,23.40,CAD,1,
75-83,23.40,CAD,1,
82-75,21.15,CAD,1,
75-82,21.15,CAD,1,
81-75,20.45,CAD,1,
75-81,20.45,CAD,1,
80-75,19.20,CAD,1,
75-80,19.20,CAD,1,
77-75,9.25,CAD,1,
75-77,9.25,CAD,1,
76-75,5.30,CAD,1,
75-76,5.30,CAD,1,
75-75,5.30,CAD,1,
1084-74,27.45,CAD,1,
74-1084,27.45,CAD,1,
1083-74,25.50,CAD,1,
74-1083,25.50,CAD,1,
97-74,18.65,CAD,1,
74-97,18.65,CAD,1,
96-74,17.85,CAD,1,
74-96,17.85,CAD,1,
95-74,17.35,CAD,1,
74-95,17.35,CAD,1,
94-74,16.85,CAD,1,
74-94,16.85,CAD,1,
93-74,16.10,CAD,1,
74-93,16.10,CAD,1,
92-74,15.40,CAD,1,
74-92,15.40,CAD,1,
91-74,14.75,CAD,1,
